번호,url,render
3,https://choandkang.com/product/조공세일-프리미엄-레드-오메가3-미니-블리스터-30캡슐3oval/705/category/190/display/1/,0
4,https://choandkang.com/product/조공세일-데일리-퓨어-오메가3-미니-90캡슐/629/category/190/display/1/,0
13,https://m.equalpet.store/product/이퀄-오메가3-스틱/50/category/23/display/1/,0
16,https://kaikoora.com/product/아이슬란딕-헤링-오메가3-250ml-4개월분-강아지-고양이-오메가3-필수영양제/13/category/51/display/1/,0
14,https://www.fitpetmall.com/mall/goods/1000033651,1
19,https://www.fitpetmall.com/mall/goods/1000024792,1
17,https://www.fitpetmall.com/mall/goods/1000037912,1
18,https://shop.peopet.co.kr/goods/view?no=36686,1
10,https://pethroom.com/product/detail.html?product_no=702&cate_no=345&display_group=1,1
21,https://www.ssg.com/item/itemView.ssg?itemId=1000534830783,0
9,https://a-vetech.com/94/?idx=165,1
24,https://petemart.co.kr/product/%EA%B0%95%EC%95%84%EC%A7%80-%EA%B3%A0%EC%96%91%EC%9D%B4-%ED%81%B4%EB%A6%AC%EB%8B%89%EC%8A%A4-%EB%A9%94%EA%B0%80%EC%93%B0%EB%A6%AC%EC%97%90%EC%9D%B4mega-3a-%ED%8C%8C%EC%9A%B0%EB%8D%94%ED%98%95-%EC%98%A4%EB%A9%94%EA%B0%803-%EC%98%81%EC%96%91%EC%A0%9C-1%ED%86%B580g/2124/,1
